"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"cashflow_NPV_dredge_ncheck_nbuff2"," -10753","   1901"," 14882","   2013","1.7e+03","3.8e+03"," 1746.7","PA"
"cashflow_NPV_dredge_ncheck_nbuff3","  -9326","   2375"," 15376","   2624","1.5e+03","4.1e+03"," 1495.1","PA"
"cashflow_NPV_dredge_ncheck_nbuff4","  -8774","   2489"," 15921","   3007","1.4e+03","4.4e+03"," 1353.5","PA"
"cashflow_NPV_dredge_ncheck_nbuff5","  -7934","   2549"," 15673","   3147","1.2e+03","4.4e+03"," 1247.3","PA"
"cashflow_NPV_dredge_ncheck_nbuff6","  -7123","   2337"," 15513","   3124","1.1e+03","4.2e+03"," 1050.9","PA"
"cashflow_NPV_dredge_ncheck_nbuff7","  -6304","   2463"," 14709","   3196","9.0e+02","4.1e+03","  899.7","PA"
"cashflow_NPV_dredge_ncheck_nbuff8","  -5293","   2520"," 13887","   3230","7.3e+02","4.0e+03","  728.2","PA"
"cashflow_NPV_dredge_ncheck_nbuff9","  -4403","   2648"," 13670","   3396","6.1e+02","4.0e+03","  607.7","PA"
"cashflow_NPV_dredge_ncheck_nbuff10","  -3284","   2827"," 12972","   3517","4.6e+02","4.0e+03","  464.7","PA"
"cashflow_NPV_dredge_ncheck_nbuff11","  -2120","   2915"," 12354","   3600","3.4e+02","3.9e+03","  339.2","PA"
"cashflow_NPV_dredge_ncheck_nbuff12","  -1477","   3018"," 11518","   3636","2.5e+02","3.9e+03","  253.4","PA"
"cashflow_NPV_dredge_ncheck_nbuff13","   -934","   3101"," 10967","   3676","1.9e+02","3.9e+03","  188.7","PA"
"cashflow_NPV_dredge_ncheck_nbuff14","   -714","   3161"," 10234","   3645","1.5e+02","3.8e+03","  147.7","PA"
"cashflow_NPV_dredge_ncheck_nbuff15","   -576","   3199","  9769","   3619","1.2e+02","3.7e+03","  122.1","PA"
"cashflow_NPV_dredge_ncheck_nbuff16","   -510","   3232","  9238","   3558","1.0e+02","3.7e+03","  101.5","PA"
"cashflow_NPV_dredge_ncheck_nbuff17","   -395","   3199","  8589","   3463","7.8e+01","3.5e+03","   77.6","PA"
"cashflow_NPV_dredge_ncheck_nbuff18","   -338","   3139","  8233","   3395","5.9e+01","3.5e+03","   58.8","PA"
"cashflow_NPV_dredge_ncheck_nbuff19","   -284","   3056","  7818","   3263","5.3e+01","3.3e+03","   53.2","PA"
"cashflow_NPV_dredge_ncheck_nbuff20","   -265","   3028","  7430","   3176","5.1e+01","3.2e+03","   50.9","PA"
"cashflow_NPV_dredge_ncheck_nbuff21","   -209","   2878","  7091","   3053","3.9e+01","3.1e+03","   39.2","PA"
"cashflow_NPV_dredge_ncheck_nbuff22","   -185","   2797","  6695","   2919","3.5e+01","3.0e+03","   34.9","PA"
"cashflow_NPV_dredge_ncheck_nbuff23","   -165","   2638","  6399","   2766","3.1e+01","2.8e+03","   31.1","PA"
"cashflow_NPV_dredge_ncheck_nbuff24","   -174","   2532","  6113","   2639","3.1e+01","2.7e+03","   30.9","PA"
"cashflow_NPV_dredge_ncheck_nbuff25","   -162","   2381","  5721","   2495","2.9e+01","2.5e+03","   28.7","PA"
"cashflow_NPV_dredge_ncheck_nbuff26","   -142","   2251","  5400","   2360","2.5e+01","2.4e+03","   25.3","PA"
"cashflow_NPV_dredge_ncheck_nbuff27","   -119","   2113","  5153","   2235","2.4e+01","2.3e+03","   23.6","PA"
"cashflow_NPV_dredge_ncheck_nbuff28","   -133","   1985","  4879","   2096","2.2e+01","2.1e+03","   22.3","PA"
"cashflow_NPV_dredge_ncheck_nbuff29","   -124","   1857","  4546","   1965","2.1e+01","2.0e+03","   21.2","PA"
"cashflow_NPV_dredge_ncheck_nbuff30","   -118","   1725","  4330","   1838","2.1e+01","1.9e+03","   20.5","PA"
"cashflow_NPV_ndredge_check_buff1","-284725","-192503","-40390","-168275","1.7e+05","3.9e+00","    3.9","SQ"
"cashflow_NPV_ndredge_check_buff2","  -7091","   6484"," 21577","   6747","9.5e+02","7.7e+03","  950.1","PA"
"cashflow_NPV_ndredge_check_buff3","  -6305","   7459"," 23228","   7935","7.9e+02","8.7e+03","  790.1","PA"
"cashflow_NPV_ndredge_check_buff4","  -5260","   8469"," 24524","   8885","6.6e+02","9.6e+03","  664.7","PA"
"cashflow_NPV_ndredge_check_buff5","  -4064","   9152"," 25715","   9679","5.3e+02","1.0e+04","  534.1","PA"
"cashflow_NPV_ndredge_check_buff6","  -2959","   9988"," 26833","  10510","4.3e+02","1.1e+04","  429.1","PA"
"cashflow_NPV_ndredge_check_buff7","  -1844","  10607"," 28445","  11358","3.2e+02","1.2e+04","  319.2","PA"
