"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.cashflow_NPV_dredge_ncheck_nbuff8"," -37697","  -5293","-2.4e+03"," 3.5e+02","   2520","  5475"," 10207"," 13887"," 67410","   3230","0.2128","0","0.7872"
"y.cashflow_NPV_dredge_ncheck_nbuff9"," -30260","  -4403","-1.8e+03"," 5.3e+02","   2648","  5465"," 10059"," 13670"," 41766","   3396","0.1963","0","0.8037"
"y.cashflow_NPV_dredge_ncheck_nbuff10"," -24185","  -3284","-1.1e+03"," 7.5e+02","   2827","  5394","  9596"," 12972"," 47403","   3517","0.1758","0","0.8242"
"y.cashflow_NPV_dredge_ncheck_nbuff11"," -36462","  -2120","-5.5e+02"," 9.4e+02","   2915","  5406","  9034"," 12354"," 43917","   3600","0.1489","0","0.8511"
"y.cashflow_NPV_dredge_ncheck_nbuff12"," -25515","  -1477","-3.4e+02"," 1.1e+03","   3018","  5325","  8519"," 11518"," 42249","   3636","0.1368","0","0.8632"
"y.cashflow_NPV_dredge_ncheck_nbuff13"," -21624","   -934","-1.7e+02"," 1.3e+03","   3101","  5309","  8463"," 10967"," 30066","   3676","0.1201","0","0.8799"
"y.cashflow_NPV_dredge_ncheck_nbuff14"," -20208","   -714","-1.0e+02"," 1.4e+03","   3161","  5225","  7876"," 10234"," 34513","   3645","0.1147","0","0.8853"
"y.cashflow_NPV_dredge_ncheck_nbuff15"," -30850","   -576","-4.6e+01"," 1.5e+03","   3199","  5175","  7642","  9769"," 32529","   3619","0.1099","0","0.8901"
"y.cashflow_NPV_dredge_ncheck_nbuff16"," -23642","   -510","-2.9e+01"," 1.6e+03","   3232","  5030","  7384","  9238"," 32443","   3558","0.1042","0","0.8958"
"y.cashflow_NPV_dredge_ncheck_nbuff17"," -22144","   -395"," 6.8e+00"," 1.6e+03","   3199","  4918","  6957","  8589"," 36081","   3463","0.0986","0","0.9014"
"y.cashflow_NPV_dredge_ncheck_nbuff18","  -8910","   -338"," 4.1e+00"," 1.6e+03","   3139","  4810","  6767","  8233"," 28049","   3395","0.0994","0","0.9006"
"y.cashflow_NPV_dredge_ncheck_nbuff19","  -7930","   -284"," 3.0e+01"," 1.6e+03","   3056","  4651","  6407","  7818"," 23937","   3263","0.0935","0","0.9065"
"y.cashflow_NPV_dredge_ncheck_nbuff20","  -9322","   -265"," 3.0e+01"," 1.6e+03","   3028","  4501","  6192","  7430"," 23151","   3176","0.0955","0","0.9045"
"y.cashflow_NPV_dredge_ncheck_nbuff21","  -6098","   -209"," 5.6e+01"," 1.6e+03","   2878","  4295","  5930","  7091"," 21833","   3053","0.0888","0","0.9112"
"y.cashflow_NPV_dredge_ncheck_nbuff22","  -5342","   -185"," 5.3e+01"," 1.5e+03","   2797","  4129","  5600","  6695"," 21712","   2919","0.0872","0","0.9128"
"y.cashflow_NPV_dredge_ncheck_nbuff23","  -6032","   -165"," 5.6e+01"," 1.4e+03","   2638","  3902","  5358","  6399"," 18333","   2766","0.0858","0","0.9142"
"y.cashflow_NPV_dredge_ncheck_nbuff24","  -5192","   -174"," 3.5e+01"," 1.4e+03","   2532","  3714","  5093","  6113"," 16961","   2639","0.0885","0","0.9115"
"y.cashflow_NPV_dredge_ncheck_nbuff25","  -3467","   -162"," 4.0e+01"," 1.3e+03","   2381","  3510","  4801","  5721"," 15104","   2495","0.0861","0","0.9139"
"y.cashflow_NPV_dredge_ncheck_nbuff26","  -2942","   -142"," 3.8e+01"," 1.2e+03","   2251","  3356","  4575","  5400"," 14382","   2360","0.0877","0","0.9123"
"y.cashflow_NPV_dredge_ncheck_nbuff27","  -4066","   -119"," 4.8e+01"," 1.2e+03","   2113","  3167","  4336","  5153"," 14694","   2235","0.0842","0","0.9158"
"y.cashflow_NPV_dredge_ncheck_nbuff28","  -3239","   -133"," 3.1e+01"," 1.1e+03","   1985","  2963","  4045","  4879"," 16010","   2096","0.0898","0","0.9102"
"y.cashflow_NPV_dredge_ncheck_nbuff29","  -2471","   -124"," 3.6e+01"," 1.0e+03","   1857","  2803","  3838","  4546"," 10963","   1965","0.0873","0","0.9127"
